Sub Order Number,Order Date,Order Status,Courier Company,AWB No,RTO Initiated Date,COD Remittance Date,RTO AWB,Unbilled Charges
319,02-02-2026 12:13:22,Delivered,Shadowfax,SF2929342490ITL,N/A,N/A,,57.32
374,28-01-2026 11:02:36,Delivered,Amazon,366871749784,N/A,N/A,,50.98
517,27-01-2026 11:16:15,Delivered,Amazon,366843886035,N/A,06-02-2026 0:00:00,,85.2
521,27-01-2026 11:12:02,Delivered,Amazon,366843664978,N/A,N/A,,85.2
526,27-01-2026 11:09:40,Rto In Transit,Amazon,366843506353,05-02-2026 0:00:00,N/A,514926864580,85.2
523,27-01-2026 11:02:26,Delivered,Amazon,366843106751,N/A,N/A,,85.2
520,27-01-2026 11:01:29,Delivered,Amazon,366843084912,N/A,N/A,,50.98
527,27-01-2026 10:51:52,Delivered,Shadowfax,SF2896592786ITL,N/A,N/A,,57.32
512,26-01-2026 10:59:35,Delivered,Amazon,366822242869,N/A,N/A,,85.2
510,26-01-2026 10:55:20,Delivered,Amazon,366822180796,N/A,N/A,,85.2
502,26-01-2026 10:49:02,Rto Delivered,Amazon,366822050983,04-02-2026 0:00:00,N/A,514925861801,85.2
507,26-01-2026 10:33:02,Lost,Amazon,366821678881,N/A,N/A,,50.98
513,26-01-2026 10:29:43,Delivered,Amazon,366821611963,N/A,N/A,,50.98
497,25-01-2026 15:41:42,Rto Delivered,Xpressbees,1323154760070,03-02-2026 0:00:00,N/A,,98.84
494,25-01-2026 15:32:14,Rto Delivered,Amazon,366810267058,04-02-2026 0:00:00,N/A,514925465757,85.2
493,25-01-2026 15:29:26,Delivered,Amazon,366810243571,N/A,N/A,,85.2
486,25-01-2026 15:20:22,Delivered,Amazon,366810159933,N/A,N/A,,50.98
483,25-01-2026 15:05:36,Rto Undelivered,Amazon,366809975407,08-02-2026 0:00:00,N/A,514930954574,134.89
398,25-01-2026 14:52:23,Delivered,Amazon,366809829328,N/A,N/A,,85.2
472,24-01-2026 11:59:37,Undelivered,Amazon,366787690569,N/A,N/A,,85.2
475,24-01-2026 11:06:41,Rto In Transit,Amazon,366786030533,09-02-2026 0:00:00,N/A,514930897185,85.2
471,24-01-2026 11:03:59,Rto Delivered,Amazon,366785933675,02-02-2026 0:00:00,N/A,514922604913,85.2
465,24-01-2026 10:47:26,Delivered,Amazon,366785161290,N/A,N/A,,50.98
455,23-01-2026 10:46:41,Delivered,Amazon,366761189218,N/A,N/A,,50.98
456,23-01-2026 10:43:21,Delivered,Amazon,366761039025,N/A,N/A,,50.98
459,23-01-2026 10:35:32,Delivered,Amazon,366760632333,N/A,N/A,,50.98
460,23-01-2026 10:31:29,Delivered,Shadowfax,SF2896584095ITL,N/A,N/A,,57.32
447,22-01-2026 10:55:31,Rto In Transit,Xpressbees,1323154756681,06-02-2026 0:00:00,N/A,,98.84
445,22-01-2026 10:38:38,Delivered,Amazon,366735328230,N/A,N/A,,50.98
442,22-01-2026 10:33:33,Delivered,Amazon,366735054993,N/A,N/A,,50.98
403,21-01-2026 11:24:24,Delivered,Shadowfax,SF2860515800ITL,N/A,N/A,,57.32
431,21-01-2026 11:11:14,Delivered,Amazon,366709654990,N/A,06-02-2026 0:00:00,,85.2
430,21-01-2026 11:08:40,Delivered,Amazon,366709536357,N/A,06-02-2026 0:00:00,,85.2
428,21-01-2026 11:06:04,Delivered,Amazon,366709446250,N/A,30-01-2026 00:00:00,,85.2
433,21-01-2026 11:02:54,Delivered,Xpressbees,1323151159094,N/A,N/A,,61.08
426,21-01-2026 11:00:49,Rto In Transit,Amazon,366709168329,07-02-2026 0:00:00,N/A,514929790404,85.2
434,21-01-2026 11:00:22,Rto Delivered,Amazon,366709178922,31-01-2026 00:00:00,N/A,514920740095,101.952
405,20-01-2026 11:39:18,Delivered,Amazon,366683272449,N/A,06-02-2026 0:00:00,,85.2
418,20-01-2026 11:34:18,Delivered,Amazon,366683107949,N/A,06-02-2026 0:00:00,,85.2
404,20-01-2026 11:31:57,Rto Delivered,Amazon,366683026066,02-02-2026 0:00:00,N/A,514923090449,85.2
417,20-01-2026 11:26:50,Delivered,Amazon,366682821662,N/A,30-01-2026 00:00:00,,85.2
419,20-01-2026 11:21:54,Rto Delivered,Amazon,366682614639,01-02-2026 0:00:00,N/A,514922265916,85.2
406,19-01-2026 23:06:19,Delivered,Amazon,366667419990,N/A,N/A,,50.98
390,19-01-2026 11:09:48,Rto In Transit,Amazon,366653511325,04-02-2026 0:00:00,N/A,514925428141,85.2
389,19-01-2026 11:07:19,Delivered,Shadowfax,SF2860511158ITL,N/A,06-02-2026 0:00:00,,91.54
378,19-01-2026 10:52:57,Delivered,Amazon,366652502928,N/A,06-02-2026 0:00:00,,85.2
379,18-01-2026 17:19:29,Rto Delivered,Amazon,366632665834,01-02-2026 0:00:00,N/A,514921859307,85.2
381,18-01-2026 17:16:27,Rto Delivered,Amazon,366632596381,05-02-2026 0:00:00,N/A,514926295421,85.2
372,18-01-2026 17:10:15,Rto Delivered,Amazon,366632533683,27-01-2026 00:00:00,N/A,514915881512,101.952
377,18-01-2026 16:51:36,Rto Delivered,Amazon,366632246262,02-02-2026 0:00:00,N/A,514923786632,85.2
365,18-01-2026 16:43:57,Rto Delivered,Amazon,366632115803,29-01-2026 00:00:00,N/A,514917837562,101.952
375,18-01-2026 16:18:49,Delivered,Amazon,366631724730,N/A,N/A,,50.98
359,17-01-2026 10:37:49,Delivered,Amazon,366599407065,N/A,30-01-2026 00:00:00,,85.2
339,16-01-2026 16:06:03,Rto Delivered,Amazon,366580865355,28-01-2026 00:00:00,N/A,514917160509,101.952
