Status,Order Number,Order Date,State,Product Name,SKU,Quantity,Price,Packet Id,Transaction ID,Payment Date,Amount
DELIVERED,233135179400502976_1,2025-12-18,Andhra Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,M01072200117067,000492044336,2026-01-05,98.17
DELIVERED,233603609484349952_1,2025-12-19,Tamil Nadu,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,M01072200117068,,,
DELIVERED,233968119202206272_1,2025-12-20,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,M01072200117071,,,
DELIVERED,233968844254068608_1,2025-12-20,Madhya Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489876,,,
RTO_COMPLETE,233998260229919232_1,2025-12-20,Telangana,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,M01072200117072,IDFBH26006619924,2026-01-06,98.3
DELIVERED,234167596986946112_1,2025-12-21,Punjab,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,M01072200117069,000492044336,2026-01-05,98.17
DELIVERED,234210047512564288_1,2025-12-21,Gujarat,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,M01072200117074,000492044336,2026-01-05,98.17
DELIVERED,234216229593698944_1,2025-12-21,Telangana,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,M01072200117073,000492044336,2026-01-05,98.17
DELIVERED,234533236314755712_1,2025-12-22,Tamil Nadu,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,M01072200117070,IDFBH26006619924,2026-01-06,98.3
RTO_COMPLETE,234562331308216960_1,2025-12-22,Punjab,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,2,99,NP5UFEU00851861,IDFBH26006619924,2026-01-06,98.3
DELIVERED,234574237452489344_1,2025-12-22,Haryana,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489878,IDFBH26006619924,2026-01-06,98.3
DELIVERED,234745281630985984_1,2025-12-23,West Bengal,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489877,000492712876,2026-01-07,98.3
DELIVERED,234919413022740608_1,2025-12-23,Uttar Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,NP1TBEU05489879,IDFBH26006619924,2026-01-06,98.3
DELIVERED,235084137409850241_1,2025-12-23,Uttar Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,TP2TCEU00666848,IDFBH26006619924,2026-01-06,98.3
DELIVERED,235442517244685184_1,2025-12-24,Rajasthan,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489975,000492712876,2026-01-07,98.3
RTO_COMPLETE,235525143715140736_1,2025-12-25,Jammu & Kashmir,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,2,99,NP5UFEU00851956,IDFBH26006619924,2026-01-06,98.3
DELIVERED,235679678111984451_1,2025-12-25,Delhi,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489974,IDFBH26006619924,2026-01-06,98.3
DELIVERED,235955602261562496_1,2025-12-26,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489973,000492712876,2026-01-07,98.3
RTO_COMPLETE,236106010812503168_1,2025-12-26,Bihar,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489881,000492712876,2026-01-07,98.3
DELIVERED,236165092232965120_1,2025-12-26,Gujarat,Orange & Lemongrass Hanging Car Perfume | Pack of 2 | Fresh Citrus Aroma | Long Lasting & Alcohol Free,RZptPDdB,1,205,NP1TBEU05489880,IDFBH26009272888,2026-01-09,203.96
RTO_COMPLETE,236402377644594306_1,2025-12-27,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489884,000492712876,2026-01-07,98.3
DELIVERED,236447484206164800_1,2025-12-27,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489887,000495301830,2026-01-16,98.17
DELIVERED,236478572310582592_1,2025-12-27,Telangana,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,NP1TBEU05489883,IDFBH26009272888,2026-01-09,203.96
RTO_COMPLETE,236735641501870976_1,2025-12-28,Karnataka,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489882,,,
DELIVERED,236849850566880256_1,2025-12-28,Rajasthan,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,NP1TBEU05489885,000494008079,2026-01-12,84.32
DELIVERED,237106158318693377_1,2025-12-29,Madhya Pradesh,Lemongrass Car Hanging Perfume | Long-Lasting Fresh Citrus Aroma | Alcohol-Free ? 10ml | Roll Mills,36dFO94D,1,99,NP1TBEU05489886,000494008079,2026-01-12,84.32
