AWB Number,Charges
14345160048237,72
14345160039190,72
14344960607099,116
14345160036684,72
14345160034450,72
14344960576801,72
14345160029554,72
14344960553909,72
14345160025205,72
14344960512794,116
14344960511490,72
14344960510529,72
14344960483816,72
14344960482038,72
14344960289919,72
14344960274374,116
14344960259960,72
14344960259959,72
14344960255550,116
14345150870413,72
14344960241650,72
14344960216996,72
14344960216991,72
14344960169056,116
14344960127807,72
14344960044852,72
14344954070471,72
